uuid,name,address,city,zip,exists_file1,exists_file2,number_of_occurrences
66e4647885fec9266501530a45093126e9339283e1d778202157376510817e4f,US POSTAL SERVICE,160 DURYEA ROAD,MELVILLE,11747,true,false,49
ad429e3e35a455879c813d8797e3cbc23548c926187fe80823dba91a5fc1b762,X PRESS SWEEPING INC,6 CRUDALE DR,WEST WARWICK,2893,true,false,46
2ce0a86068e5fa5bfdaa856c3e1c46b82aeccb6cd4f778d09bc077cc22bc33ad,USPROTECT CORPORATION,801 ROEDER ROAD SUITE 1000,SILVER SPRING,20910,true,false,43
fbdd5fda1155bed4dccd4146336653cc76e07839b2e65477a6566dac9ebdaa31,USPS MID ISLAND P  DC,160 DURYEA ROAD,MELVILLE,11747,true,false,28
af91c0b850e98204ddc551153e073326d005cc384c6780e67701f11effbc6336,USPS,160 DURYEA ROAD,MELVILLE,11747,true,false,26
154faa5fc4b3acfb76232c27d926224c2eb931de11fdb2d07f98bb816ca40eaa,JD PRODUCE INC,PO BOX 1548,EDINBURG,78539,true,false,22
de5c6d0c25c8354fe3ac0554048e3c6b51ea1c3427fc37ea009b5608ddb701c4,FRONTERA PRODUCE LTD,PO BOX 2019,EDINBURG,78540,true,false,21
69bb95f0bc75fb59398553133a42305051b30849b210c0e08d7223a9af464866,RIO FRESH INC,PO BOX 1619,SAN JUAN,78589,true,false,20
d159f7122f1413ede4e481f1a609a22e5c73f28a875bfe9831bb7ae88a1257df,US PROTECT,801 ROEDER ROAD SUITE 1000,SILVER SPRING,20910,true,false,20
9e9be3847cee3736c1c8ee3c9c6d18ad2ace05fbfcea471e266ba4fff99144f3,SLM TRANS INC,8401 CORPORATE DRIVE SUITE 230,HYATTSVILLE,20785,true,false,20
58fcf3b6796211e4861d1f188e3c04b081024ecf005002ea7859b47bf5599365,NYPD COMMUNICATIONS TECH POST,11 METRO TECH,BROOKLYN,11201,true,false,18
b1c8eee904b7db1aa32d504d3e799745ac37ee5029c87a22b2520941996cb4ea,ELECTRONIC DATA SYSTEMS INC,5400 LEGACY DRIVE,PLANO,75024,true,false,16
62b1095ff9a8bd7bef754b8eed67b5527b5c10f18f54424d509c263c7c610e5d,EDS INC,5400 LEGACY DRIVE,PLANO,75024,true,false,16
a099a7c2e3c001f170d254fcfd50164e1412fed1555adac8a4ab63d0a356dc6f,THE CITY OF NEW YORK POLICE DEPARTMENT,11 METRO TECH,BROOKLYN,11201,true,false,15
2e20f411355e99d1661db684193b2220fab757979152161df081ddd9750fc976,J  D PRODUCE INC,PO BOX 1548,EDINBURG,78540,true,false,14
ee033455dadbb7ccd768ba9f0ad0e216b121c59c2c136227b6f503973742ac6c,INTELLIMATION INC,250 N LINCOLN AVE,LEBANON,17046,true,false,14
193dc3ead661f16987bf13a3fd5c679168132d342569d39c4e89c28892eab769,PARDI PRODUCE INC,610 WEST CANO,EDINBURG,78539,true,false,13
d18fb74725da37ad7a95eba68ac703cc54a532eab391da6dded565316a71c11c,J AND D PRODUCE INC,PO BOX 1548,EDINBURG,78540,true,false,12
f61df76c5fd63baf5382ad2cc55bfa31fd3ff189b74903018649efac4bfa3f99,FIRST OCCUPATIONAL CENTER OF NEW JERSEY,391 LAKESIDE AVE,ORANGE,7050,true,false,12
33d43c199d0b58b10ebd181c0043c97d521e471207f8532ca1149d47b2af0f1d,USPROTECT CORPORATION,801 ROEDER RD STE 1000,SILVER SPRING,20910,true,false,12
cd7ef426f1b00908896078b9f1c964a2aca840f63d780ebef6942d76b247d604,J  D PRODUCE INC,P O BOX 1548,EDINBURG,78540,true,false,12
6df80b87ebe995e83dd4f095efe8b2ab2b8024316fb8e52939f6a7f75a80e866,ONE CLOTHING,2121 E 37TH STREET,LOS ANGELES,90058,true,false,11
5b719b89c68b5dee96e849d2cabaa18b1a05e8db07c51d8402f6aa2cb8913836,UNITED STATES POSTAL SERVICE,160 DURYEA ROAD,MELVILLE,11747,true,false,11
47c62dbdf4c58fab323d4be9c98aa9edecb58f4848c405fdc31b6e004d1b4742,TRDI INC,425 SOLEDAD,SAN ANTONIO,78205,true,false,11
7c0d9ff4fa3381a07d9e4d6c1cae14e6f59fb8ebc2db24301c18d778de4aad6d,LABOR READY INC,1015 A ST,TACOMA,98402,true,false,10
fff2e1f730057f4a4879546cae20bdd597127cf8511d69da8982f6a8dfe7c988,SAME,96 05 QUEENS BOULEVARD,ELMHURST,11373,true,false,10
ec3fd3a8d13759fa884b646b5a9254cd8f89c2168867be7cc33d8cc2bd453b23,GREENES ENERGY GROUP LLC,4021 B AMBASSADOR CAFFERY PARKWAY,LAFAYETTE,70503,true,false,10
894ae2206eaee7feed603f4e60e535c61e5a5d2f530295b5e341f7b6267a41c6,TDG ENTERPRISES,276 SUNRISE,GIDDINGS,78942,true,false,9
e4f3bb2d88f9d325869f8bffbad34f5e7b9e4f4dda6ab655449f83f399747387,AYLWARD ENTERPRISES INCORPORATED,99 187 KALALOA ST,AIEA,96701,true,false,9
09af3cb8992c0f9b3d5e751e5c3e703b63b4e0f3903fda592d7efbf4052b6674,AKAL SECURITY INC,7 INFINITY LOOP,ESPANOLA,87532,true,false,9
b0317d324c653e6a364687b587f07b33b4e4deb346a5b86a7b546a824bbd6ecb,THE NEW YORK CITY POLICE DEPARTMENT,11 METRO TECH,BROOKLYN,11201,true,false,9
2734c9c15474d06630249a20c147f33b37771951c6965143af6109ac78b55eea,NAKICOS CORPORATION DBA SUBWAY GUAM,PO BOX 21869,GMF,96921,true,false,9
0ff4746497b1d4e7ec4a6b564fcaa0a449113f9cfc07f9db2c43bf441cf48e6f,TDG ENTERPRISES INC,276 SUNRISE,GIDDINGS,78942,true,false,9
6c76862283bb4dfebb0d19efa612ba918c061ee5a03e23948335702097797af5,CB TECH SERVICES INC,5 SAND ISLAND ACCESS ROAD,HONOLULU,96819,true,false,9
7723bdc6563b084822b2754522b58d12bb3a178b1f9b75bb180b5c6731b646d9,LABOR READY INC,1015 A STREET,TACOMA,98402,true,false,9
1c07e5f5cf404879393f80399bef2e86f4403494251126d0b611c47822741aeb,RAMIREZ ROBERTO FLC,604 SANTA ANGELA ST,PHARR,78577,true,false,8
acf4fd7ae80860b11230c5b52423dcac9bf56a8fbaf9295c6f6e53448b11c13a,MC DEAN INC,22461 SHAW ROAD,STERLING,20166,true,false,8
0d3722d404d3beff5c562fa63630feba395730168618cd36312072ee9bfbae97,ALYWARD ENTERPRISES INCORPORATED,99 187 KALALOA ST,AIEA,96701,true,false,8
f17d9fb6dc8d9d7155b6053580c6116b6384707412b5383258ed6ad0b755b5b4,FRONTERA PRODUCE,1321 FRONTERA RD,EDINBURG,78541,true,false,8
6e3d7b9d855f6b035b2e4694a0b045479447a2bd64162ba4da0155deacde4c42,SYSTEMS TRAINING  RESOURCE TECHNOLOGIES INC,5501 BACKLICK ROAD SUITE 200,SPRINGFIELD,22151,true,false,8
7924d7d90f230d0b17c8a827cc54e2deb1593438bd7116e605b69da9a7d2f258,GENERAL MOTORS CORPORATION,3201 FAIRFAX TRAFFICWAY,KANSAS CITY,66115,true,false,8
e8f0a55ea43a026d5b5ffa48d2706df9f2efab2756c391f8199f0b7a9bc5346b,HWA INC,306 FAIRVIEW AVENUE NORTH,SEATTLE,98109,true,false,8
dffbe47171534f91d8ba496e4aa9476fc096b390725552182bb92b57f78d77f9,TRECO SERVICES INC,904 N ZARZAMORA,SAN ANTONIO,78207,true,false,8
fe2d83543c856cdc940f75c2db054f4e569e8e79bfa022841d99385f10ad60db,RAMIREZ ROBERTO,604 SANTA ANGELA ST,PHARR,78577,true,false,8
a8fb02347b772526992834452eae32c6c5a1cb5a181c2e307615c89d0c834544,O  K INC,2121 E 37TH STREET,LOS ANGELES,90058,true,false,8
724d08faaf5c203accc1975e4d4114ffac7b2190363614743f46cd50b7460a76,US PROTECT CORPORATION,801 ROEDER RD STE 1000,SILVER SPRING,20910,true,false,8
adc517340135efd53108cf63b5532b407107abf56dd41a742c7c78e0693658d4,SYSTEMS TRAINING  RESOURCE TECHNOLOGIES INC,5501 BACKLICK ROAD,SPRINGFIELD,22151,true,false,8
3e4115a148e664dcd88ac4f87df88fc93972b782fdb3033db00ff820eaad5059,MULNITE FARMS INC,28 MILLER ROAD,BROAD BROOK,6016,true,false,7
0c516b2dc7791c12a301935826c92e9880bade2a4f86d25161ebbca837254cb8,USPS,99 ENTERPRISE DRIVE,NEWBURGH,12550,true,false,7
368a079f01c9311a68e224d965ecd0f0e5ae4db091252fcd09f0ee960623098b,J  D PRODUCE INC,PO BOX 1548,EDINBURG,78539,true,false,7
e3e09b6dc4fce0273aecaff64c47bfbcaad4f560ef51e40f622f9ddc03505a82,LAFAYETTE HOTELS,155 LITTLEFIELD AVENUE,BANGOR,4401,true,false,7
871ea296b59f52bad4100f3c095a3fb10a620fa1f373b236c8d6054698d8ff5a,NAN,1300 PENNSYLVANIA AVE NW,WASHINGTON,20004,true,false,7
cb4496684aa0bf80e5419acbdede2c1d38913c66d91d99e75367e7c58d3e8de9,HARPER CONTRACTING INC,1150 WEST 2300 NORTH,SALT LAKE CITY,84116,true,false,7
f32554735129f43f0ec8b9e368d74a60cc8d52a1886bc6e961f3a56c56da72af,US PROTECT CORPORATION,801 ROEDER ROAD SUITE 1000,SILVER SPRING,20910,true,false,7
412120026a931115768b7ec83b812b04e44ccb0ce15d632ba915e1f5e889f983,FRONTERA PRODUCE LTD,1321 FRONTERA RD,EDINBURG,78541,true,false,7
6c9e2441f1b44cb9540106bd36988f751587b03789611461c6936c30825ea880,X PRESS SWEEPING INC,14 CLOVER DR,COVENTRY,2816,true,false,7
43dfd3c6f5365a88a8512878ded848afa5f302bb3c3e0a849938adae2ee3ae9f,DENNYS OF GUAM INC,321 E HARMON INDUSTRIAL PARK ROAD,TAMUNING,96913,true,false,7
2bd0a3d162e3edc47a3e96a9dd8b50a1676d5a04b08e4dd7ed0b0ecf80be1791,ESKA INC,3510 S CENTRAL AVE,LOS ANGELES,90011,true,false,7
6cff36e06112c76b934ca2bcd4919d1bdbe027b8ced778df8eefdb875923e9f7,NYPD COMMUNICATIONS TECH,11 METRO TECH,BROOKLYN,11201,true,false,7
5d03209ef2a2c3e117ba5e4ef5251b8e0dcaf68fcc0896e961ed9559337ac700,FASHION EXIT INC,1620 NAOMI AVE,LOS ANGELES,90021,true,false,7
